# author   : Jelena Prokić
# created  : 2013-12-15
# homepage : http://www.quanthistling.info/data/pad.zip
#
ID	LONGITUDE	LATITUDE	NAME	SHORT_NAME
#
25987	6.61615	48.14471	DOCELLES	Docelles
71182	11.40528	48.46679	SCHACHACH	Schachach
71399	11.95648	49.07279	PIELENHOFEN	Pielenhofen
71626	12.37579	48.58109	OBERVIEHBACH	Oberviehbach
72112	12.7814	49.016	MAIBRUNN	Maibrunn
72938	11.52376	49.59651	HARTENSTEIN	Hartenstein
73053	11.51153	48.6382	LANGENBRUCK	Langenbruck
73067	11.81097	48.19687	GELTING	Gelting
74385	11.09074	48.58242	PÖTTMES	Pöttmes
76974	11.74264	50.27822	SCHAUENSTEIN	Schauenstein
77404	11.07393	49.45431	NÜRNBERG	Nürnberg
77989	10.40268	47.76812	WILDPOLDSRIED	Wildpoldsried
78096	10.30012	50.16458	VOLKERSHAUSEN	Volkershausen
78677	11.13614	47.56027	OBERAU	Oberau
79153	13.01466	48.35408	ULBERING	Ulbering
80028	11.64591	49.18626	EICHENHOFEN	Eichenhofen
80157	10.23982	47.44684	OBERMAISELSTEIN	Obermaisel
80214	12.89858	47.60782	RAMSAU BEI BERCHTESGADEN	Ramsau(Berch)
81382	10.88347	50.35401	OTTOWIND	Ottowind
81534	10.64359	49.19811	WEIDENBACH	Weidenbach
82823	10.56757	48.61144	HÖCHSTÄDT AN DER DONAU	Höchstädt(Don)
84354	12.47554	48.09406	PETERSKIRCHEN	Peterskirchen
87273	10.81434	48.07384	IGLING	Igling
87629	9.81708	49.89864	ZELLINGEN	Zellingen
88232	10.61456	49.06389	ALTENTRÜDINGEN	Altentrüdin
89144	11.28617	48.72127	MAXWEILER	Maxweiler
89340	10.1485	49.83033	SCHNEPFENBACH	Schnepfenbach
90559	12.61578	49.42291	TREFFELSTEIN	Treffelstein
92088	10.87399	49.95301	KEMMERN	Kemmern
93399	12.46995	49.83228	HERMANNSREUTH	Hermannsreuth
93455	13.79591	48.72849	KLAFFERSTRASS	Klafferstrass
94066	7.14491	49.24246	OBERWÜRZBACH	Oberwürzbach
94091	8.86801	50.974	ROSENTHAL	Rosenthal
94232	8.58935	50.93639	DEXBACH	Dexbach
94235	8.6312	50.73594	LOHRA	Lohra
95188	8.83433	50.21787	BÜDESHEIM	Büdesheim
95627	9.79949	50.48621	WEYHERS	Weyhers
96254	9.47928	50.12751	LOHRHAUPTEN	Lohrhaupten
96433	7.03643	50.3804	SIEBENBACH	Siebenbach
96934	7.63783	49.60773	EINÖLLEN	Einöllen
96991	6.78431	49.95674	BRUCH	Bruch
97293	9.94198	50.9339	HÖNEBACH	Hönebach
97362	8.11735	49.80601	ENSHEIM	Ensheim
97420	7.35556	50.06494	MASTERSHAUSEN	Mastershausen
97496	7.38355	50.55264	BREMSCHEID	Bremscheid
97691	9.44337	51.04322	MÖRSHAUSEN	Mörshausen
98052	8.34518	50.69923	HERBORNSEELBACH	Herbornseelbach
98155	8.22926	50.82533	OFFDILLN	Offdilln
98572	9.50046	51.57855	GOTTSBÜREN	Gottsbüren
98815	8.31848	50.16055	NIEDERNHAUSEN	Niedernhausen
98830	8.66476	50.94115	NIEDERASPHE	Niederasphe
98885	7.33431	50.383	KRUFT	Kruft
98997	10.0587	51.10205	RÖHRDA	Röhrda
99705	8.67041	50.77126	ALLNA	Allna
99852	7.78567	50.57188	HARTENFELS	Hartenfels
99867	8.18374	49.47631	UNGSTEIN	Ungstein
100120	9.93846	51.25775	ORFERODE	Orferode
100345	10.02256	50.64151	TANN (RHÖN)	Tann(Rhön)
100376	6.21301	50.2135	WINTERSPELT	Winterspelt
100418	8.85498	50.76017	WITTELSBERG	Wittelsberg
101005	8.62489	50.96621	FROHNHAUSEN	Frohnhausen
101114	9.09816	49.71315	VIELBRUNN	Vielbrunn
101119	8.80445	51.36049	ADORF	Adorf
101858	8.23615	52.0266	HESSELTEICH	Hesselteich
102156	7.43174	51.40055	HERDECKE	Herdecke
102330	7.73278	51.86704	ALBERSLOH	Albersloh
102355	6.97187	52.06571	WÜLLEN	Wüllen
102505	7.31817	52.25446	HADDORF	Haddorf
103156	7.09489	51.71458	LIPPRAMSDORF	Lippramsdorf
103353	6.17695	51.58482	WEMB	Wemb
103582	8.12967	51.63018	BROCKHAUSEN	Brockhausen
103623	9.03804	51.91995	HERRENTRUP	Herrentrup
104396	8.0617	52.3898	ENGTER	Engter
104872	10.36866	51.92967	ASTFELD	Astfeld
105310	7.64522	52.75389	HERSSUM	Herssum
105687	10.48229	51.5915	OSTERHAGEN	Osterhagen
106665	9.89498	54.07009	WASBEK	Wasbek
106912	9.68234	52.5546	BRELINGEN	Brelingen
107178	8.32006	52.21207	FREDEN	Freden
107244	9.18593	54.3963	SCHWABSTEDT	Schwabstedt
107810	9.95808	53.30943	JESTEBURG	Jesteburg
107979	8.37107	53.23143	BARDENFLETH	Bardenfleth
108461	10.59431	52.41361	WASBÜTTEL	Wasbüttel
108547	10.4776	53.67865	WENTORF (AMT SANDESNEBEN)	Wentorf(Sand)
109126	9.88288	54.72756	HOLMKJER	Holmkjer
109582	9.02855	53.93712	DIEKHUSEN	Diekhusen
110034	9.355	52.76422	STÖCKEN	Stöcken
110375	7.7445	53.16896	BARSSEL	Barssel
110821	10.67269	54.31969	HOHWACHT (OSTSEE)	Hohwacht(Os)
111294	11.13524	52.95197	JEETZEL	Jeetzel
112022	10.4165	53.02872	EBSTORF	Ebstorf
112685	10.05358	52.75291	EVERSEN	Eversen
112823	9.15723	52.91245	OISTE	Oiste
112854	10.80829	52.69796	OHRDORF	Ohrdorf
114116	8.94231	53.77773	OSTERBRUCH	Osterbruch
114506	8.48841	52.67496	DREEKE	Dreeke
115080	9.87635	52.22197	AHRBERGEN	Ahrbergen
115354	8.96325	53.38118	KUHSTEDT	Kuhstedt
115632	9.10759	52.74531	WARPE	Warpe
116270	10.336	51.8069	CLAUSTHAL-ZELLERFELD	Clausthal(Zf)
116468	8.96733	52.47656	HUDDESTORF	Huddestorf
116692	9.25023	54.71004	GROSSENWIEHE	Grossenwiehe
117389	10.58576	51.63299	WIEDA	Wieda
117629	9.36457	53.62058	HAMMAH	Hammah
117816	11.62803	51.63156	GERBSTEDT	Gerbstedt
118146	12.81399	53.27493	MIROW	Mirow
118165	13.30394	52.90459	FALKENTHAL	Falkenthal
118512	10.88412	53.44636	BENNIN	Bennin
118882	14.07178	53.12362	GRÜNOW	Grünow
119029	13.7256	52.5653	ALTLANDSBERG	Altlandsberg
119195	13.76549	54.05062	WOLGAST	Wolgast
119269	11.76421	53.3249	HERZFELD	Herzfeld
119655	14.26249	53.74399	ALTWARP	Altwarp
120233	12.16037	53.65045	KIRCH KOGEL	KirchKogel
120286	11.63871	52.78919	ROSSAU	Rossau
120820	12.22293	52.88514	BREDDIN	Breddin
121128	13.92416	52.09045	NEU SCHADOW	NeuSchadow
121678	13.16846	52.12856	RUHLSDORF	Ruhlsdorf
121905	12.94792	54.38842	GROSS MOHRDORF	GrossMohrdorf
122070	12.90967	53.85051	VERCHEN	Verchen
122830	11.39951	52.24731	HUNDISBURG	Hundisburg
122935	12.80601	51.7136	PRETZSCH (ELBE)	Pretzsch(El)
123486	11.43146	51.34975	LANDGRAFRODA	Landgrafroda
123878	12.42447	54.15108	GRESENHORST	Gresenhorst
124194	13.53068	53.05063	VIETMANNSDORF	Vietmannsdorf
124374	14.35441	52.33913	JACOBSDORF	Jacobsdorf
124534	13.61768	54.56434	HAGEN	Hagen
124734	12.37133	52.1102	REETZ	Reetz
124917	11.89471	53.9533	JÜRGENSHAGEN	Jürgenshagen
125086	14.57832	51.72402	GROSS JAMNO	GrossJamno
125647	11.92963	51.08099	OSTERFELD	Osterfeld
126108	12.71743	52.41975	GÖTZ	Götz
126340	10.79175	51.83833	WERNIGERODE	Wernigerode
126543	13.6915	51.42369	SCHRADEN	Schraden
126983	13.57191	53.5793	SCHÖNBECK	Schönbeck
127102	11.59695	51.91989	ATZENDORF	Atzendorf
127805	9.28698	48.98044	KLEINBOTTWAR	Kleinbottwar
129216	8.75991	48.21131	SCHÖMBERG	Schömberg
130378	8.86825	49.3202	ESCHELBRONN	Eschelbronn
131034	8.34737	47.64854	HORHEIM	Horheim
131478	9.26556	48.57309	BEMPFLINGEN	Bempflingen
131625	9.41656	47.81259	OBERHOMBERG	Oberhomberg
131639	9.89691	49.30381	BILLINGSBACH	Billingsbach
132113	7.94104	48.30987	SEELBACH	Seelbach
132665	8.45861	48.86075	PFAFFENROT	Pfaffenrot
132787	7.73306	47.71161	ENDENBURG	Endenburg
133243	9.93333	48.23855	BURGRIEDEN	Burgrieden
133354	9.87851	48.83126	IGGINGEN	Iggingen
134449	6.22534	51.33748	LEUTH	Leuth
134531	7.71735	50.92872	ODENSPIEL	Odenspiel
134656	7.10169	50.7323	BONN	Bonn
135360	6.08842	50.77804	AACHEN	Aachen
136211	6.95506	50.94165	KÖLN	Köln
136417	6.7722	50.58589	IVERSHEIM	Iversheim
136673	12.22288	50.46821	THEUMA	Theuma
136865	10.29392	50.72446	HELMERS	Helmers
137105	10.57154	50.62814	EBERTSHAUSEN	Ebertshausen
137182	13.76015	50.76363	ALTENBERG	Altenberg
137478	14.13335	51.15263	RAMMENAU	Rammenau
138212	13.18202	51.06476	ROSSWEIN	Rosswein
138617	14.69458	50.85343	JONSDORF	Jonsdorf
139171	10.54374	50.45702	EXDORF	Exdorf
139216	10.16088	50.96697	UNTERELLEN	Unterellen
139327	13.05826	51.04184	GRÜNLICHTENBERG	Grünlichtenberg
139458	11.11512	50.91724	SCHELLRODA	Schellroda
139652	13.73289	51.34256	LINZ	Linz
140365	14.46429	51.3784	LIPPEN	Lippen
140999	12.88345	50.69943	GORNSDORF	Gornsdorf
141322	14.3817	51.05396	WEHRSDORF	Wehrsdorf
141434	12.43014	50.95277	MOCKERN	Mockern
141726	14.85208	51.12421	GERSDORF	Gersdorf
141827	13.08292	51.35966	LAMPERTSWALDE	Lampertswalde
142132	10.69225	51.49484	GROSSWECHSUNGEN	Grosswechsungen
142179	12.95481	51.19788	BOCKELWITZ	Bockelwitz
142407	12.98455	51.3965	SCHMANNEWITZ	Schmannewitz
142544	13.18209	50.77079	BORSTENDORF	Borstendorf
142682	10.89288	51.15579	BALLHAUSEN	Ballhausen
142692	10.60358	50.85131	ENGELSBACH	Engelsbach
142982	11.13046	50.57015	CURSDORF	Cursdorf
522626	8.8563326817	52.141194842	VALDORF	Valdorf
534207	7.09344065618214	52.5164896720584	HOHENKÖRBEN	Hohenkörben
534317	7.39866520384403	49.2574647664277	NIEDERAUERBACH	Niederauerbach
534378	9.03518281681611	51.9127405779053	REELKIRCHEN	Reelkirchen
